,Player Name,Twitter ID,Instagram ID,Player Position,Shoots,Born,Country,NBA Debut,Experience
1,Saddiq Bey, SaddiqBey , saddiq.bey, Small Forward , Right," April 9, 1999 ",Loading!," December 26, 2020", 2 years
2,Bogdan Bogdanović, LeaderOfHorde , bogdanbogdanovic, Shooting Guard , Right," August 18, 1992 ",Loading!," October 23, 2017", 5 years
3,Clint Capela, CapelaClint , ccapela15, Center , Right," May 18, 1994 ",Loading!," November 6, 2014", 8 years
4,John Collins, jcollins20_ , jcollins20_, Power Forward , Right," September 23, 1997 ",Loading!," October 18, 2017", 5 years
5,Bruno Fernando, BrunoFernandoMV , the_angolan_bf, Center , Right," August 15, 1998 ",Loading!," October 24, 2019", 3 years
6,Trent Forrest, TForrest_11 , trentforrest, Point Guard , Right," June 12, 1998 ",Loading!," January 5, 2021", 2 years
7,AJ Griffin, whoisAG21 , adrian.griffinjr, Small Forward , Right," August 25, 2003 ",Loading!," October 23, 2022", Rookie
8,Aaron Holiday, The_4th_Holiday , the_4th_holiday, Point Guard , Right," September 30, 1996 ",Loading!," October 17, 2018", 4 years
9,De'Andre Hunter, DreHunter , drehunter, Small Forward , Right," December 2, 1997 ",Loading!," October 24, 2019", 3 years
10,Jalen Johnson, Jalen_J23 , jalenjohnson, Small Forward and Power Forward , Right," December 18, 2001 ",Loading!," October 21, 2021", 1 year
11,Vit Krejci, v_krejci , vitaa_krejci, Point Guard and Shooting Guard , Right," June 19, 2000 ",Loading!," October 20, 2021", 1 year
12,Tyrese Martin, resemartin4 , rese.martin, Shooting Guard , Right," March 7, 1999 ",Loading!," October 23, 2022", Rookie
13,Garrison Mathews, gmathews_24 , garrison_mathews24, Shooting Guard , Right," October 24, 1996 ",Loading!," October 23, 2019", 3 years
14,Dejounte Murray, DejounteMurray , dejountemurray, Point Guard and Shooting Guard , Right," September 19, 1996 ",Loading!," October 29, 2016", 5 years
15,Onyeka Okongwu, BigO21_ , big0, Center , Right," December 11, 2000 ",Loading!," January 15, 2021", 2 years
16,Donovan Williams, STGDwill , stg_stretch, Shooting Guard , Right," September 6, 2001 ",Loading!," April 4, 2023", Rookie
17,Trae Young, TheTraeYoung , traeyoung, Point Guard , Right," September 19, 1998 ",Loading!," October 17, 2018", 4 years
18,Malcolm Brogdon, MalcolmBrogdon7 , malcolmbrogdon, Point Guard and Shooting Guard , Right," December 11, 1992 ",Loading!," October 26, 2016", 6 years
19,Jaylen Brown, FCHWPO , fchwpo, Shooting Guard and Small Forward , Right," October 24, 1996 ",Loading!," October 26, 2016", 6 years
20,Justin Champagnie, JusChampagnie , jchampagnie, Small Forward , Right," June 29, 2001 ",Loading!," October 22, 2021", 1 year
21,JD Davison, jddavison10 , jdavison02, Point Guard , Right," October 3, 2002 ",Loading!," November 11, 2022", Rookie
