,Team Name,Player Name,Twitter ID,Instagram ID,Player Position,Shoots,Born,Country,NBA Debut,Experience,Summary,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,C_Summary,C_G,C_PTS,C_TRB,C_AST,C_FG%,C_FG3%,C_FT%,C_eFG%,C_PER,C_WS
1,Atlanta Hawks,Saddiq Bey, SaddiqBey , saddiq.bey, Small Forward , Right," April 9, 1999 "," Charlotte, North Carolina us"," December 26, 2020", 2 years,2022-23,77,13.8,4.7,1.5,42.2,36.1,86.1,51.3,14.6,3.9,Career,229,14.1,4.9,1.9,40.6,36.1,84.4,50.7,13.8,11.1
2,Atlanta Hawks,Bogdan Bogdanović, LeaderOfHorde , bogdanbogdanovic, Shooting Guard , Right," August 18, 1992 "," Belgrade, Serbia rs"," October 23, 2017", 5 years,2022-23,54,14.0,3.1,2.8,44.7,40.6,83.1,56.6,14.2,2.8,Career,370,14.2,3.4,3.3,44.0,38.7,82.3,54.2,14.8,19.0
3,Atlanta Hawks,Clint Capela, CapelaClint , ccapela15, Center , Right," May 18, 1994 "," Geneva, Switzerland ch"," November 6, 2014", 8 years,2022-23,65,12.0,11.0,0.9,65.3,0.0,60.3,65.3,22.1,7.2,Career,536,12.4,10.7,1.0,62.7,0.0,53.3,62.7,22.2,60.1
4,Atlanta Hawks,John Collins, jcollins20_ , jcollins20_, Power Forward , Right," September 23, 1997 "," Layton, Utah us"," October 18, 2017", 5 years,2022-23,71,13.1,6.5,1.2,50.8,29.2,80.3,55.7,13.6,4.2,Career,364,15.8,8.0,1.5,55.1,35.6,78.3,59.3,19.1,32.3
5,Atlanta Hawks,Bruno Fernando, BrunoFernandoMV , the_angolan_bf, Center , Right," August 15, 1998 "," Luanda, Angola ao"," October 24, 2019", 3 years,2022-23,39,3.9,3.5,0.8,52.7,0.0,70.0,52.7,16.6,0.9,Career,158,3.4,3.0,0.6,52.7,13.3,63.9,53.4,13.2,2.1
6,Atlanta Hawks,Trent Forrest, TForrest_11 , trentforrest, Point Guard , Right," June 12, 1998 "," Dothan, Alabama us"," January 5, 2021", 2 years,2022-23,23,2.3,1.6,1.7,41.7,0.0,66.7,41.7,6.1,-0.1,Career,113,3.0,1.6,1.7,46.5,18.2,84.3,48.3,10.0,1.9
7,Atlanta Hawks,AJ Griffin, whoisAG21 , adrian.griffinjr, Small Forward , Right," August 25, 2003 "," Dallas, Texas us"," October 23, 2022", Rookie,2022-23,72,8.9,2.1,1.0,46.5,39.0,89.4,56.0,12.6,2.2,Career,72,8.9,2.1,1.0,46.5,39.0,89.4,56.0,12.6,2.2
8,Atlanta Hawks,Aaron Holiday, The_4th_Holiday , the_4th_holiday, Point Guard , Right," September 30, 1996 "," Ruston, Louisiana us"," October 17, 2018", 4 years,2022-23,63,3.9,1.2,1.4,41.8,40.9,84.4,50.0,9.4,0.9,Career,308,6.6,1.6,2.2,41.3,37.7,84.1,48.8,11.0,5.6
9,Atlanta Hawks,De'Andre Hunter, DreHunter , drehunter, Small Forward , Right," December 2, 1997 "," Philadelphia, Pennsylvania us"," October 24, 2019", 3 years,2022-23,67,15.4,4.2,1.4,46.1,35.0,82.6,52.2,11.5,2.5,Career,206,13.9,4.2,1.5,44.4,35.6,79.9,51.1,10.8,5.4
10,Atlanta Hawks,Jalen Johnson, Jalen_J23 , jalenjohnson, Small Forward and Power Forward , Right," December 18, 2001 "," Wausau, Wisconsin us"," October 21, 2021", 1 year,2022-23,70,5.6,4.0,1.2,49.1,28.8,62.8,53.7,14.1,2.1,Career,92,4.9,3.3,0.9,49.6,28.2,63.5,54.1,13.8,2.2
